Species	Class	OG0000000	OG0000005	OG0000006	OG0000014	OG0000017	OG0000026	OG0000030	OG0000035	OG0000042	OG0000054	OG0000059	OG0000069	OG0000071	OG0000081	OG0000086	OG0000096	OG0000109	OG0000122	OG0000123	OG0000143	OG0000147	OG0000160	OG0000168	OG0000173	OG0000214	OG0000217	OG0000237	OG0000291	OG0000297	OG0000299	OG0000310	OG0000484	OG0000597	OG0000606	OG0000746	OG0000750	OG0000889	OG0001663	OG0002853	OG0003209	OG0003514	OG0004044	OG0004098	OG0004172	OG0005114	OG0005246	OG0005306	OG0007118	OG0007523	OG0008019
yHMPu5000034874_tetrapisispora_blattae_190924.final	1	5.0	9.0	7.0	4.0	2.0	0.0	21.0	7.0	6.0	3.0	4.0	2.0	1.0	4.0	1.0	0.0	0.0	4.0	2.0	3.0	4.0	0.0	20.0	2.0	3.0	4.0	2.0	3.0	3.0	0.0	3.0	3.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
yHMPu5000034875_tetrapisispora_fleetii_160519.final	1	2.0	11.0	4.0	1.0	3.0	0.0	2.0	3.0	4.0	2.0	4.0	1.0	3.0	2.0	1.0	0.0	0.0	3.0	1.0	3.0	1.0	0.0	0.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
yHMPu5000034876_Tetrapisispora_iriomotensis_SPADES.final	1	3.0	12.0	5.0	1.0	2.0	0.0	4.0	3.0	4.0	2.0	4.0	1.0	2.0	3.0	1.0	1.0	0.0	4.0	1.0	3.0	1.0	0.0	1.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	4.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
yHMPu5000034877_tetrapisispora_namnaonensis_160519.final	1	2.0	11.0	4.0	1.0	2.0	0.0	3.0	3.0	4.0	2.0	4.0	1.0	3.0	3.0	1.0	1.0	0.0	6.0	1.0	3.0	1.0	0.0	0.0	2.0	3.0	3.0	1.0	3.0	3.0	1.0	3.0	3.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
yHMPu5000034884_peterozyma_toletana_160519.final	1	4.0	7.0	12.0	8.0	6.0	4.0	9.0	3.0	9.0	5.0	3.0	4.0	8.0	7.0	3.0	2.0	4.0	0.0	0.0	2.0	4.0	5.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	3.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034906_candida_succiphila_160519.final	1	2.0	12.0	11.0	6.0	12.0	3.0	7.0	3.0	1.0	3.0	3.0	4.0	2.0	1.0	2.0	4.0	0.0	0.0	0.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034918_nakazawaea_holstii_160519.final	1	4.0	8.0	7.0	4.0	6.0	3.0	12.0	7.0	9.0	8.0	3.0	6.0	6.0	17.0	5.0	4.0	3.0	0.0	0.0	4.0	3.0	3.0	1.0	4.0	2.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	1.0	1.0	1.0	4.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034926_candida_boidinii_160519.final	1	7.0	10.0	10.0	10.0	1.0	6.0	11.0	4.0	1.0	4.0	3.0	3.0	1.0	2.0	2.0	3.0	1.0	0.0	0.0	2.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034933_kuraishia_molischiana_160519.final	1	4.0	10.0	9.0	2.0	13.0	9.0	5.0	2.0	1.0	3.0	3.0	4.0	5.0	3.0	2.0	4.0	1.0	0.0	0.0	2.0	2.0	1.0	5.0	1.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034967_candida_freyschussii_160519.final	1	2.0	9.0	3.0	6.0	4.0	3.0	1.0	3.0	7.0	8.0	3.0	1.0	2.0	2.0	2.0	5.0	1.0	0.0	2.0	2.0	3.0	3.0	0.0	2.0	2.0	2.0	2.0	2.0	3.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
yHMPu5000034973_danielozyma_ontarioensis_160519.final	1	17.0	7.0	8.0	3.0	7.0	4.0	5.0	3.0	6.0	4.0	3.0	6.0	3.0	2.0	2.0	3.0	3.0	1.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0
